Gene stable ID,Gene name,Gene description,Gene start (bp),Gene end (bp),Gene % GC content
ENSG00000229652,AL359837.1,small EDRK-rich factor 2 (SERF2) pseudogene,203353365,203353651,60.63
ENSG00000271588,LARP7P1,La ribonucleoprotein domain family member 7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49763],203400266,203400581,35.44
ENSG00000188783,PRELP,proline and arginine rich end leucine rich repeat protein [Source:HGNC Symbol;Acc:HGNC:9357],203475828,203491352,50.00
ENSG00000188770,OPTC,opticin [Source:HGNC Symbol;Acc:HGNC:8158],203494143,203508864,51.14
ENSG00000058668,ATP2B4,ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817],203626561,203744081,46.50
ENSG00000236035,AL513343.1,TGF beta-inducible nuclear protein 1 (TINP1) pseudogene,203656969,203657760,40.40
ENSG00000221643,SNORA77,small nucleolar RNA, H/ACA box 77 [Source:HGNC Symbol;Acc:HGNC:32663],203729581,203729705,56.80
ENSG00000122188,LAX1,lymphocyte transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26005],203765176,203776233,46.18
ENSG00000058673,ZC3H11A,zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093],203795654,203854999,40.73
ENSG00000257315,ZBED6,zinc finger BED-type containing 6 [Source:HGNC Symbol;Acc:HGNC:33273],203795714,203854999,40.71
ENSG00000227417,AC114402.2,SNF7 domain containing 2 (SNF7DC20) pseudogene,203805621,203806263,44.79
ENSG00000223505,AC114402.1,ribosomal protein L35a (RPL35A) pseudogene,203835585,203835912,44.51
ENSG00000182004,SNRPE,small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:HGNC:11161],203861603,203870550,42.59
ENSG00000236430,KRT8P29,keratin 8 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:33381],203872574,203874187,51.12
ENSG00000232917,HSPE1P6,heat shock protein family E (Hsp10) member 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:49325],203903723,203904013,40.89
ENSG00000237379,CBX1P3,chromobox 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:38657],203954640,203955780,45.31
ENSG00000176754,LINC00303,long intergenic non-protein coding RNA 303 [Source:HGNC Symbol;Acc:HGNC:26865],204032447,204041265,48.01
ENSG00000143842,SOX13,SRY-box 13 [Source:HGNC Symbol;Acc:HGNC:11192],204073115,204127743,51.76
ENSG00000261065,AL592146.1,novel transcript,204131062,204131966,58.12
ENSG00000143845,ETNK2,ethanolamine kinase 2 [Source:HGNC Symbol;Acc:HGNC:25575],204131062,204152003,52.50
ENSG00000230550,ERLNC1,estrogen receptor responsive lncRNA 1 [Source:HGNC Symbol;Acc:HGNC:41109],204141408,204143009,51.87
ENSG00000143839,REN,renin [Source:HGNC Symbol;Acc:HGNC:9958],204154819,204190324,48.56
ENSG00000225522,AL592114.2,novel pseudogene,204183006,204183537,44.74
ENSG00000170498,KISS1,KiSS-1 metastasis suppressor [Source:HGNC Symbol;Acc:HGNC:6341],204190341,204196486,51.69
ENSG00000174567,GOLT1A,golgi transport 1A [Source:HGNC Symbol;Acc:HGNC:24766],204198160,204214092,47.52
ENSG00000143850,PLEKHA6,pleckstrin homology domain containing A6 [Source:HGNC Symbol;Acc:HGNC:17053],204218851,204377665,48.91
ENSG00000231691,AL592114.3,novel transcript,204277005,204277948,55.72
ENSG00000219133,AL592114.1,ribosomal protein L21 (RPL21) pseudogene,204346776,204347258,43.69
ENSG00000280924,LINC00628,long intergenic non-protein coding RNA 628 [Source:HGNC Symbol;Acc:HGNC:27008],204368431,204369719,52.13
ENSG00000226330,AL606489.1,novel transcript,204377850,204435846,43.89
ENSG00000237848,AL606489.2,small nuclear ribonucleoprotein polypeptide F (SNRPF) pseudogene,204394541,204394774,39.74
ENSG00000158615,PPP1R15B,protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951],204403387,204411791,40.44
ENSG00000133056,PIK3C2B,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:HGNC:8972],204422628,204494724,49.35
ENSG00000198625,MDM4,MDM4, p53 regulator [Source:HGNC Symbol;Acc:HGNC:6974],204516379,204558120,42.52
ENSG00000236779,AL512306.1,PEF protein with a long N-terminal hydrophobic domain (peflin) (PEF) pseudogene,204528845,204529692,56.96
ENSG00000200408,RNA5SP74,RNA, 5S ribosomal pseudogene 74 [Source:HGNC Symbol;Acc:HGNC:42851],204562413,204562521,57.80
ENSG00000240710,AL512306.3,novel transcript,204603035,204616565,47.54
ENSG00000170382,LRRN2,leucine rich repeat neuronal 2 [Source:HGNC Symbol;Acc:HGNC:16914],204617170,204685733,50.12
ENSG00000240219,AL512306.2,novel transcript,204626775,204629712,52.59
ENSG00000228153,AL161793.1,novel transcript,204663872,204664613,52.70
ENSG00000252650,RNA5SP75,RNA, 5S ribosomal pseudogene 75 [Source:HGNC Symbol;Acc:HGNC:42852],204707320,204707430,54.95
ENSG00000251861,RF00601,,204727991,204728106,55.17
ENSG00000163531,NFASC,neurofascin [Source:HGNC Symbol;Acc:HGNC:29866],204828651,205022822,47.92
ENSG00000229657,AL391822.1,ribosomal protein L13a (RPL13A) pseudogene,204946608,204947169,56.23
ENSG00000184144,CNTN2,contactin 2 [Source:HGNC Symbol;Acc:HGNC:2172],205042937,205078284,54.18
ENSG00000174529,TMEM81,transmembrane protein 81 [Source:HGNC Symbol;Acc:HGNC:32349],205083129,205084460,47.52
ENSG00000117222,RBBP5,RB binding protein 5, histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:9888],205086142,205122015,40.77
ENSG00000271580,AL583832.1,glycogenin 2 (GYG2) pseudogene,205091163,205091946,42.22
ENSG00000236108,AC093422.3,signal peptidase 12kDa (SPC12) pseudogene,205134646,205134950,39.67
ENSG00000133059,DSTYK,dual serine/threonine and tyrosine protein kinase [Source:HGNC Symbol;Acc:HGNC:29043],205142505,205211566,43.55
ENSG00000213041,AC093422.1,ribosomal protein L17 (RPL17) pseudogene,205202191,205202742,44.02
ENSG00000133069,TMCC2,transmembrane and coiled-coil domain family 2 [Source:HGNC Symbol;Acc:HGNC:24239],205228176,205285632,51.49
ENSG00000225063,AC093422.2,novel transcript,205233821,205236867,46.96
ENSG00000163545,NUAK2,NUAK family kinase 2 [Source:HGNC Symbol;Acc:HGNC:29558],205302059,205321791,51.28
ENSG00000162873,KLHDC8A,kelch domain containing 8A [Source:HGNC Symbol;Acc:HGNC:25573],205336065,205357090,50.88
ENSG00000235363,SNRPGP10,small nuclear ribonucleoprotein polypeptide G pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:39329],205351247,205351471,39.11
ENSG00000226235,LEMD1-AS1,LEMD1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44132],205373252,205387440,44.60
ENSG00000186007,LEMD1,LEM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18725],205381378,205457091,47.07
ENSG00000281406,BLACAT1,bladder cancer associated transcript 1 [Source:HGNC Symbol;Acc:HGNC:48597],205434886,205437879,50.87
ENSG00000199059,MIR135B,microRNA 135b [Source:HGNC Symbol;Acc:HGNC:31760],205448302,205448398,52.58
ENSG00000224717,AC098936.1,novel transcript,205455929,205469024,49.66
ENSG00000117266,CDK18,cyclin dependent kinase 18 [Source:HGNC Symbol;Acc:HGNC:8751],205504595,205532793,55.71
ENSG00000253097,RNU2-19P,RNA, U2 small nuclear 19, pseudogene [Source:HGNC Symbol;Acc:HGNC:48512],205566716,205566799,42.86
ENSG00000174514,MFSD4A,major facilitator superfamily domain containing 4A [Source:HGNC Symbol;Acc:HGNC:25433],205568885,205602918,50.98
ENSG00000206762,RNU6-418P,RNA, U6 small nuclear 418, pseudogene [Source:HGNC Symbol;Acc:HGNC:47381],205595041,205595147,45.79
ENSG00000158711,ELK4,ELK4, ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:3326],205597556,205631962,41.85
ENSG00000236942,AC096533.1,GABA(A) receptor-associated protein (GABARAP) pseudogene,205625483,205626153,50.97
ENSG00000158715,SLC45A3,solute carrier family 45 member 3 [Source:HGNC Symbol;Acc:HGNC:8642],205657851,205680459,54.41
ENSG00000275213,RF00017,,205684018,205684307,51.03
ENSG00000069275,NUCKS1,nuclear casein kinase and cyclin dependent kinase substrate 1 [Source:HGNC Symbol;Acc:HGNC:29923],205712819,205750276,39.57
ENSG00000201944,RF00139,,205731221,205731352,35.61
ENSG00000117280,RAB29,RAB29, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9789],205767986,205775460,45.95
ENSG00000285521,AC119673.1,novel transcript,205775559,205783623,42.15
ENSG00000133065,SLC41A1,solute carrier family 41 member 1 [Source:HGNC Symbol;Acc:HGNC:19429],205789093,205813748,50.84
ENSG00000162877,PM20D1,peptidase M20 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26518],205828022,205850132,46.64
ENSG00000174502,SLC26A9,solute carrier family 26 member 9 [Source:HGNC Symbol;Acc:HGNC:14469],205913048,205943460,52.02
ENSG00000227687,AL713965.1,novel transcript,205935128,205935768,51.95
ENSG00000276600,RAB7B,RAB7B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30513],205976740,206003461,48.00
ENSG00000196188,CTSE,cathepsin E [Source:HGNC Symbol;Acc:HGNC:2530],206009264,206023909,43.75
ENSG00000285417,BX571818.1,novel pseudogene,206035253,206062257,42.50
ENSG00000263961,RHEX,regulator of hemoglobinization and erythroid cell expansion [Source:HGNC Symbol;Acc:HGNC:25341],206052723,206102459,44.25
ENSG00000252692,RF00271,,206080239,206080324,38.37
ENSG00000198049,AVPR1B,arginine vasopressin receptor 1B [Source:HGNC Symbol;Acc:HGNC:896],206109692,206117699,52.45
ENSG00000226780,AC244035.1,novel transcript,206117783,206126805,38.82
ENSG00000225483,RPL22P4,ribosomal protein L22 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:36299],206160887,206161276,40.26
ENSG00000236889,AC244035.2,novel transcript,206175060,206177246,40.74
ENSG00000196550,FAM72A,family with sequence similarity 72 member A [Source:HGNC Symbol;Acc:HGNC:24044],206186179,206204414,42.13
ENSG00000266028,SRGAP2,SLIT-ROBO Rho GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:19751],206203345,206464443,42.75
ENSG00000229509,AC244023.1,RAP1, GTP-GDP dissociation stimulator 1 (RAP1GDS1) pseudogene,206333327,206333438,41.07
ENSG00000263528,IKBKE,inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:HGNC Symbol;Acc:HGNC:14552],206470476,206496889,53.36
ENSG00000278465,MIR6769B,microRNA 6769b [Source:HGNC Symbol;Acc:HGNC:50016],206474803,206474864,62.90
ENSG00000162888,C1orf147,chromosome 1 open reading frame 147 [Source:HGNC Symbol;Acc:HGNC:32061],206491116,206497728,52.91
ENSG00000261000,AC244034.2,novel transcript,206503948,206504456,48.92
ENSG00000266094,RASSF5,Ras association domain family member 5 [Source:HGNC Symbol;Acc:HGNC:17609],206507530,206589448,48.20
ENSG00000234981,AC244034.1,ribosomal protein L7a (RPL7A) pseudogene,206528915,206529706,52.02
ENSG00000279946,AC244034.3,novel transcript, sense intronic to RASSF5,206541758,206544892,48.33
ENSG00000143486,EIF2D,eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583],206571292,206612463,46.17
ENSG00000237605,AL591846.2,novel transcript,206634649,206635622,56.26
ENSG00000143479,DYRK3,dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094],206635536,206684419,44.46
ENSG00000162889,MAPKAPK2,mitogen-activated protein kinase-activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887],206684944,206734283,48.70
ENSG00000224114,AL591846.1,ribosomal protein S14 (RPS14) pseudogene,206695837,206696269,54.27
ENSG00000199349,RF00019,,206747980,206748092,39.82
ENSG00000136634,IL10,interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962],206767602,206772494,47.76
ENSG00000142224,IL19,interleukin 19 [Source:HGNC Symbol;Acc:HGNC:5990],206798870,206842981,43.86
ENSG00000162891,IL20,interleukin 20 [Source:HGNC Symbol;Acc:HGNC:6002],206865354,206869223,43.70
ENSG00000162892,IL24,interleukin 24 [Source:HGNC Symbol;Acc:HGNC:11346],206897443,206904139,48.47
ENSG00000162894,FCMR,Fc fragment of IgM receptor [Source:HGNC Symbol;Acc:HGNC:14315],206904386,206923247,48.63
ENSG00000271680,AC098935.2,La ribonucleoprotein domain family, member 1B (LARP1B) pseudogene,206905928,206906393,41.63
ENSG00000226945,AC098935.1,ribosomal protein L13a (RPL13A) pseudogene,206907619,206908229,57.12
ENSG00000162896,PIGR,polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968],206928518,206946466,49.28
ENSG00000162897,FCAMR,Fc fragment of IgA and IgM receptor [Source:HGNC Symbol;Acc:HGNC:24692],206957965,206970625,48.99
ENSG00000182795,C1orf116,chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667],207018521,207032756,47.46
ENSG00000123836,PFKFB2,6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873],207034366,207081024,42.36
ENSG00000180667,YOD1,YOD1 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:25035],207043849,207052980,39.45
ENSG00000123843,C4BPB,complement component 4 binding protein beta [Source:HGNC Symbol;Acc:HGNC:1328],207088842,207099993,40.01
ENSG00000123838,C4BPA,complement component 4 binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1325],207104262,207144972,39.21
ENSG00000275392,AL445493.3,novel transcript, antisense to C4BPA,207127010,207127486,29.77
ENSG00000226565,AL445493.1,signal recognition particle 72kDa (SRP72) pseudogene,207150205,207150281,45.45
ENSG00000224462,C4BPAP1,complement component 4 binding protein, alpha pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:1326],207165496,207183910,36.49
ENSG00000243636,AL445493.2,novel transcript,207179296,207184062,38.91
ENSG00000232621,C4BPAP2,complement component 4 binding protein, alpha pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:1327],207225798,207229202,37.91
ENSG00000237074,AL596218.1,novel transcript,207240122,207309292,38.84
ENSG00000196352,CD55,CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665],207321376,207386804,36.37
ENSG00000283044,AL391597.1,novel transcript,207401691,207416236,39.09
ENSG00000117322,CR2,complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336],207454230,207489895,39.17
ENSG00000203710,CR1,complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334],207496147,207641765,39.16
ENSG00000236911,AL137789.1,novel transcript, antisense to CR1,207551925,207606555,38.84
ENSG00000197721,CR1L,complement C3b/C4b receptor 1 like [Source:HGNC Symbol;Acc:HGNC:2335],207645113,207738416,40.50
ENSG00000244703,CD46P1,CD46 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:6959],207645234,207657410,41.32
ENSG00000226289,CDCA4P3,cell division cycle associated 4 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:49772],207658454,207659142,58.06
ENSG00000274059,RNA5SP534,RNA, 5S ribosomal pseudogene 534 [Source:HGNC Symbol;Acc:HGNC:53803],207708898,207708981,45.24
ENSG00000285239,AL137789.2,novel transcript,207709024,207711508,44.31
ENSG00000117335,CD46,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953],207752057,207795513,38.21
ENSG00000234219,CDCA4P4,cell division cycle associated 4 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:49773],207762584,207763263,58.53
ENSG00000203709,MIR29B2CHG,MIR29B2 and MIR29C host gene [Source:HGNC Symbol;Acc:HGNC:32018],207801518,207879096,47.66
ENSG00000284214,MIR29C,microRNA 29c [Source:HGNC Symbol;Acc:HGNC:31621],207801852,207801939,44.32
ENSG00000284203,MIR29B2,microRNA 29b-2 [Source:HGNC Symbol;Acc:HGNC:31620],207802443,207802523,39.51
ENSG00000174059,CD34,CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662],207880972,207911402,45.46
ENSG00000285719,AL356275.2,novel transcript, antisense to CD34,207909992,207917088,42.33
ENSG00000284237,AL356275.1,novel transcript,207959292,207969329,49.45
ENSG00000076356,PLXNA2,plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100],208022242,208244320,47.98
ENSG00000226843,AL606753.1,heterogeneous nuclear ribonucleoprotein D-like (HNRPDL) pseudogene,208255290,208255376,35.63
ENSG00000261453,LINC01735,long intergenic non-protein coding RNA 1735 [Source:HGNC Symbol;Acc:HGNC:52523],208607100,208612192,38.82
ENSG00000259815,AC099793.1,novel transcript,208626741,208628085,41.56
ENSG00000227887,RPS26P13,ribosomal protein S26 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:35784],208697369,208697698,50.00
ENSG00000232812,LINC01717,long intergenic non-protein coding RNA 1717 [Source:HGNC Symbol;Acc:HGNC:52504],208728688,208733184,34.76
ENSG00000236950,LINC01774,long intergenic non-protein coding RNA 1774 [Source:HGNC Symbol;Acc:HGNC:52564],208972454,208975307,38.51
ENSG00000278684,AC104465.1,vacuole membrane protein 1 (VMP1) pseudogene,209001338,209001476,41.73
ENSG00000232537,AC092810.3,novel transcript,209147267,209155101,37.24
ENSG00000228081,AC092810.2,GRB2-related adaptor protein (GRAP) pseudogene,209173014,209173375,62.43
ENSG00000224540,AC092810.1,transcription factor Dp-1 (TFDP1) pseudogene,209232196,209233419,52.70
ENSG00000225712,ATP5MC2P1,ATP synthase membrane subunit c locus 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:844],209267798,209268223,53.76
ENSG00000227940,LINC01696,long intergenic non-protein coding RNA 1696 [Source:HGNC Symbol;Acc:HGNC:52484],209325456,209328532,41.21
ENSG00000231648,LINC01698,long intergenic non-protein coding RNA 1698 [Source:HGNC Symbol;Acc:HGNC:52486],209367662,209379690,42.42
ENSG00000230937,MIR205HG,MIR205 host gene [Source:HGNC Symbol;Acc:HGNC:43562],209428820,209432838,47.90
ENSG00000284485,MIR205,microRNA 205 [Source:HGNC Symbol;Acc:HGNC:31583],209432133,209432242,48.18
ENSG00000224260,AL023754.1,novel transcript,209528455,209567673,44.48
ENSG00000008118,CAMK1G,calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585],209583717,209613938,47.01
ENSG00000196878,LAMB3,laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490],209614870,209652466,49.95
ENSG00000283876,MIR4260,microRNA 4260 [Source:HGNC Symbol;Acc:HGNC:38179],209623444,209623510,58.21
ENSG00000227591,AL031316.1,uncharacterized LOC101930114 [Source:NCBI gene;Acc:101930114],209661364,209724125,41.63
ENSG00000123689,G0S2,G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229],209675420,209676388,57.59
ENSG00000117594,HSD11B1,hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208],209686178,209734950,40.88
ENSG00000236136,ADORA2BP1,adenosine A2b receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:265],209744373,209745214,50.36
ENSG00000009790,TRAF3IP3,TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766],209756032,209782320,45.61
ENSG00000162757,C1orf74,chromosome 1 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:26319],209779208,209784559,44.56
ENSG00000117595,IRF6,interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121],209785623,209806175,44.96
ENSG00000117597,UTP25,UTP25, small subunit processor component [Source:HGNC Symbol;Acc:HGNC:28440],209828007,209857565,41.44
ENSG00000143469,SYT14,synaptotagmin 14 [Source:HGNC Symbol;Acc:HGNC:23143],209938174,210171389,36.49
ENSG00000203706,SERTAD4-AS1,SERTAD4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:32019],210231456,210234047,58.06
ENSG00000082497,SERTAD4,SERTA domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25236],210232799,210246631,43.15
ENSG00000228110,ST13P19,ST13, Hsp70 interacting protein pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:38862],210265636,210267241,48.38
ENSG00000233455,AL035414.1,ribonuclease H1 (RNASEH1) pseudogene,210303684,210304540,47.26
ENSG00000054392,HHAT,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270],210328252,210676296,42.26
ENSG00000200972,RNU5A-8P,RNA, U5A small nuclear 8, pseudogene [Source:HGNC Symbol;Acc:HGNC:42530],210374154,210374267,39.47
ENSG00000270936,AL034351.1,inositol monophosphatase domain containing 1 (IMPAD1) pseudogene,210462345,210463012,43.41
ENSG00000143473,KCNH1,potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250],210676823,211134180,41.06
ENSG00000279333,AC096636.1,novel transcript,210678315,210681932,46.24
ENSG00000284299,AL590132.1,novel protein,210858125,211134146,39.90
ENSG00000224668,IPO8P1,importin 8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:41955],210859177,210862285,39.50
ENSG00000283952,AC092017.3,novel protein,211082872,211188533,40.75
ENSG00000284376,AC092017.4,novel transcript,211108445,211207138,40.72
ENSG00000234233,KCNH1-IT1,KCNH1 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41351],211132588,211133374,47.01
ENSG00000234004,AC092017.2,pseudogene similar to ribosomal protein S25 (RPS25),211173488,211173849,44.48
ENSG00000226986,AC092017.1,pseudogene similar to px19-like protein (PX19),211207239,211207897,54.32
ENSG00000117625,RCOR3,REST corepressor 3 [Source:HGNC Symbol;Acc:HGNC:25594],211258377,211316385,37.38
ENSG00000082512,TRAF5,TNF receptor associated factor 5 [Source:HGNC Symbol;Acc:HGNC:12035],211326615,211374946,44.65
ENSG00000153363,LINC00467,long intergenic non-protein coding RNA 467 [Source:HGNC Symbol;Acc:HGNC:28227],211382803,211435333,39.05
ENSG00000236809,SNX25P1,sorting nexin 25 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:41509],211417025,211417934,45.71
ENSG00000238137,ARPC3P2,actin related protein 2/3 complex subunit 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39431],211442274,211442806,40.53
ENSG00000198570,RD3,retinal degeneration 3, GUCY2D regulator [Source:HGNC Symbol;Acc:HGNC:19689],211476522,211492917,51.20
ENSG00000223649,AC105275.1,novel transcript,211492255,211492917,53.54
ENSG00000170385,SLC30A1,solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012],211571568,211578742,38.51
ENSG00000261314,AC105275.2,novel transcript, sense overlapping SLC30A1,211583015,211583725,44.30
ENSG00000228792,AL356310.1,novel transcript,211635906,211642867,47.41
ENSG00000227764,LINC01693,long intergenic non-protein coding RNA 1693 [Source:HGNC Symbol;Acc:HGNC:52478],211639695,211654581,47.24
ENSG00000117650,NEK2,NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745],211658657,211675630,39.50
ENSG00000224763,FDPSP8,farnesyl diphosphate synthase pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:39085],211660189,211661277,50.60
ENSG00000231057,AC096637.2,uncharacterized LOC91548 [Source:NCBI gene;Acc:91548],211675762,211690103,45.91
ENSG00000226868,AC096637.1,novel transcript,211715928,211725402,43.80
ENSG00000123684,LPGAT1,lysophosphatidylglycerol acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:28985],211743457,211830772,38.30
ENSG00000241395,RN7SL344P,RNA, 7SL, cytoplasmic 344, pseudogene [Source:HGNC Symbol;Acc:HGNC:46360],211792111,211792406,55.07
ENSG00000212205,RF00019,,211803017,211803104,42.05
ENSG00000229258,AL445488.1,uncharacterized LOC102723727 [Source:NCBI gene;Acc:102723727],211829846,211853703,42.11
ENSG00000233626,AC092814.1,protein (peptidyl-prolyl cis\\/trans isomerase) NIMA-interacting, 4 (parvulin) (PIN4) pseudogene,211936249,211936634,45.34
ENSG00000143493,INTS7,integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484],211940399,212035542,38.12
ENSG00000212187,RF00568,,212025561,212025682,43.44
ENSG00000143476,DTL,denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288],212035553,212107400,38.44
ENSG00000220749,RPL21P28,ribosomal protein L21 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:36258],212051524,212052006,43.06
ENSG00000264358,MIR3122,microRNA 3122 [Source:HGNC Symbol;Acc:HGNC:38320],212077613,212077685,50.68
ENSG00000252879,RN7SKP98,RNA, 7SK small nuclear pseudogene 98 [Source:HGNC Symbol;Acc:HGNC:45822],212099521,212099676,51.92
ENSG00000229983,AL606468.1,novel transcript,212168207,212190259,44.28
ENSG00000226251,AL451060.1,uncharacterized LOC101929541 [Source:NCBI gene;Acc:101929541],212225278,212238977,44.80
ENSG00000066027,PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309],212285537,212361863,39.28
ENSG00000230063,AL360091.2,novel transcript, sense intronic to PPP2R5A,212297448,212299579,56.43
ENSG00000234915,AL360091.3,novel transcript, antisense to PPP2R5A,212299495,212331713,40.27
ENSG00000225338,RPL23AP18,ribosomal protein L23a pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:36726],212309051,212309518,48.72
ENSG00000201544,SNORA16B,small nucleolar RNA, H/ACA box 16B [Source:HGNC Symbol;Acc:HGNC:32606],212352816,212352950,41.48
ENSG00000229832,AL360091.1,novel transcript, sense intronic to PPP2R5A,212357418,212358353,46.90
ENSG00000065600,TMEM206,transmembrane protein 206 [Source:HGNC Symbol;Acc:HGNC:25593],212363931,212414901,44.57
ENSG00000117691,NENF,neudesin neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:30384],212432887,212446379,47.72
ENSG00000224535,AC092803.1,novel transcript,212466816,212467743,49.14
ENSG00000228067,LINC01740,long intergenic non-protein coding RNA 1740 [Source:HGNC Symbol;Acc:HGNC:52528],212545694,212556065,39.53
ENSG00000260805,AC092803.2,novel transcript,212557833,212559731,56.29
ENSG00000162772,ATF3,activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785],212565334,212620777,43.16
ENSG00000235862,AL590648.2,novel transcript,212624284,212626771,55.10
ENSG00000162771,FAM71A,family with sequence similarity 71 member A [Source:HGNC Symbol;Acc:HGNC:26541],212624474,212626778,55.44
ENSG00000226036,AL590648.1,riboflavin kinase pseudogene,212647296,212647755,44.78
ENSG00000237980,AL590648.3,novel transcript,212653999,212665434,45.14
ENSG00000123685,BATF3,basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915],212686418,212699985,49.13
ENSG00000117697,NSL1,NSL1, MIS12 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:24548],212726153,212791782,39.75
ENSG00000203705,TATDN3,TatD DNase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:27010],212791828,212816626,40.66
ENSG00000236905,AC104333.3,ribosomal protein S5 (RPS5) pseudogene,212824027,212824505,56.37
ENSG00000185523,SPATA45,spermatogenesis associated 45 [Source:HGNC Symbol;Acc:HGNC:33709],212830141,212847649,43.95
ENSG00000198468,FLVCR1-DT,FLVCR1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:39077],212852108,212858088,45.88
ENSG00000235182,AC104333.1,pseudogene similar to part of ribosomal protein S15a (RPS15A),212853280,212853426,37.41
ENSG00000236317,AC104333.2,ribosomal protein S28 (RPS28) pseudogene,212855175,212855366,56.25
